countryname	Country Name
country3	3-digit  country code
country2	2-digit country code
year	Year
TradeData	Trade Policy
AccessCreditDataDepth	Depth of Credit Information 
AccessCreditDataLegal	Strength of Legal Rights
AccessCreditAgg	Access to Credit 
BusStartUpDataDays	Days to Start a Business
BusStartUpDataCost	Cost to Start a Business
BusStartUpAgg	Business Start-Up
CHData	Child Health
CivLibData	Civil Liberties
ConCorData	Control of Corruption
EducExpDataPOST	Education Expenditure (Post)
EducExpDataUNESCO	Education Expenditure (UNESCO)
EducExpAgg	Education Expenditure
FisPolData	Fiscal Policy (Actual year)
FisPolAgg	Fiscal Policy (Three year average)
FreedomInfoDataFreePress	Freedom of the Press
FreedomInfoDataFOIA	FOIA
FreedomInfoDataInterTools	Internet Filtering - Internet Tools
FreedomInfoDataPolyNet	Internet Filtering - Political Content
FreedomInfoAgg	Freedom of Information
GenderEconData	Gender in the Economy
GirlsPrimData	Girls' Primary Education Completion Rates
GirlsSecData	Girls' Secondary Enrolment Rates
GovtEffData	Government Effectivenesss
HealthData	Health Expenditures
ImmunDataDPT3	DPT3 Immunization Rates
ImmunDataMCV	MCV Immunization Rates
ImmunAgg	Immunization Rates
InflData	Inflation
LRADataIFAD	IFAD Rural Land Assessment
LRADataIFCTime	Days to Register a Property
LRADataIFCCost	Cost to Register a Property
LRAAgg	Land Rights and Access
NRMData	Natural Resource Protection
PolRigData	Political Rights
RegQualityData	Regulatory Quality
RuleLawData	Rule of Law
ChildMortality	Child Mortality
AccessSanitation	Access to Sanitation
AccessWater	Access to Water
